Question,Agent Bucket,Tool Bucket,Advisory Bucket,Response Quality,,Second Pass,CoPilot Screen,Gitanjali,Oscar
Are the 28 IPs confirmed to be Azure virtual machines?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,no,,
"Is it correct that outbound mitigation occurs on the destination side, specifically on the customer's own network public IPs?",Agent:DDoSAdvisory,,Functionality,Partial,,Advisory,yes,,
Do the current product settings allow any product or virtual machine to send up to 2 million UDP packets per second per destination address?,Agent:DDoSAdvisory,,Thresholds,Partial,,,yes,,
Can the DDoS protection be enabled for the customer's appliances regardless of the platform's DDoS settings?,Agent:DDoSAdvisory,,ProvisioningConfiguration,Good,,,yes,,
Why did the customer not test the provided solution during the call?,Agent:DDoSAdvisory,,AttackSimulation,Good,,,yes,,
Can the customer provide the IP address and specific metric that they are unable to see related to Azure DDoS Protection?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,no,,
Is the DDoS protection plan attached to the virtual network functionally the same as having an individual plan attached to a standard SKU?,Agent:DDoSAdvisory,,BasicVsStandard,Partial,,Advisory,yes,,
Can simultaneous packet captures be taken on both sides to verify if the traffic is reaching the virtual machine?,NotApplicable,,,,About troubleshooting network connectivity,,yes,,
"Is the traffic indeed making it all the way to the virtual machine, or is it being blocked somewhere in between?",Agent:DDoSIncident,Tool:AttackProfiling,,,,,yes,,
Are there any blocks happening on the platform side that could be preventing traffic from reaching the virtual machine?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,yes,,
"Could you please confirm if there is any application that was starting during business hours which required the involved services to run, potentially increasing the packet count?",Agent:DDoSIncident,Tool:AttackDetection,,,,,yes,,
"Are the alerts showing the specific identifiers shared by the customer, and can more details be provided on where these were observed?",Agent:DDoSIncident,Tool:AttackProfiling,,,,,yes,,
Is the reported source IP generating legitimate traffic toward the public IP address?,Agent:DDoSScoping,Tool:AttackProfiling,,,,Scoping,no,,
Was the amount of traffic from the identified source IP expected or normal for the environment?,Agent:DDoSScoping,Tool:AttackProfiling,,,,Scoping,yes,,
Are there any performance issues with virtual machines or nodes along the data path that could explain general slowness?,Agent:DDoSIncident,,,,About troubleshooting network connectivity,,yes,,
Has the customer verified if the source IPs involved in the traffic spikes are legitimate resources?,Agent:DDoSScoping,Tool:AttackProfiling,,,,Scoping,yes,,
Can the DDoS protection thresholds be adjusted to accommodate legitimate traffic spikes without dropping packets?,Agent:DDoSIncident,Tool:DetectionTuning,,,,,yes,,
Is there a soft and hard threshold for DDoS protection where exceeding half of the configured threshold triggers packet forwarding to the service?,Agent:DDoSAdvisory,,Functionality,Partial,,Advisory,yes,,
"Are there additional criteria beyond sheer volume of traffic used to identify DDoS traffic? For example, regarding a specific IP over the last 24 hours.",Agent:DDoSAdvisory,,Functionality,Good,,Advisory,yes,,
Is Azure somehow seeing double the traffic?,Agent:DDoSAdvisory,,Functionality,NeedsAdditionalContext,,,no,,
"Does Azure DDoS Protection use adaptive tuning and machine learning algorithms to set mitigation thresholds based on the normal traffic profile of public IP addresses, allowing the system to dynamically adjust thresholds for optimal protection, even if the configured static limit is higher?",Agent:DDoSAdvisory,,Functionality,Good,,Advisory,yes,,
"Would it be possible to propose custom rules for the TCP layer in the DDoS Protection service, which is L4-based? Specifically, creating custom rate-limiting rules for the application firewall version 2.",Agent:DDoSAdvisory,,AppGWandWAF,Partial,,,yes,NeedsPromptImprovement,NeedsPromptImprovement
Does the firewall provide DoS mitigation?,Agent:DDoSAdvisory,,AzureFirewall,Good,Other product behaviors,Advisory,no,,
"Does the firewall maintain a default-deny stance on incoming network packets typically used for DoS (e.g., ICMP, TCP SYN flood, TCP NULL) unless whitelisted?",Agent:DDoSAdvisory,,AzureFirewall,Good,Other product behaviors,Advisory,yes,,
How much traffic request do you have?,NotApplicable,,,,,,no,,
What is the highest traffic request you have like this in the environment?,Agent:DDoSAdvisory,,Thresholds,NeedsAdditionalContext,,,no,,
What is the average volume of traffic (in requests per second or Mbps) your application typically handles?,Agent:DDoSAdvisory,,Thresholds,NeedsAdditionalContext,Scoping customer environment,,yes,,
What is the peak traffic volume you've observed recently?,Agent:DDoSAdvisory,,Thresholds,Good,Scoping customer environment,,no,,
Can you provide the exact timestamps or date ranges of the recent DDoS attacks you experienced?,Agent:DDoSScoping,Tool:AttackDetection,,,,Scoping,yes,,
"What was the impact of these attacks (e.g., downtime, latency, service degradation)?",Agent:DDoSScoping,,,,,Scoping,yes,,
Do you have any logs or alerts from the protection system related to these attacks?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,no,,
Why was the mitigation not triggered during the reported DDoS attack?,Agent:DDoSIncident,Tool:AttackDetection,,,,,yes,,
Is there a way to enhance the mitigation to respond better in this scenario?,Agent:DDoSIncident,Tool:AttackDetection,,,,,no,,
"Can you confirm that the reason the mitigation was not triggered is because the protection threshold limit was set to 20,000?",Agent:DDoSIncident,Tool:AttackDetection,,,,,yes,,
Is it possible to lower this threshold limit to an earlier value to improve protection?,Agent:DDoSIncident,Tool:DetectionTuning,,,,Advisory,no,,
Can you confirm if this is the virtual network where the operating system was deployed?,Agent:DDoSIncident,Tool:ResourceState,,,,,yes,,
Have you disabled the DDoS standard protection on the virtual network as per the documentation?,Agent:DDoSIncident,Tool:ResourceState,,,,,yes,,
Are you still seeing the DDoS protection plan active even though the virtual network has been deleted?,Agent:DDoSIncident,Tool:ResourceState,,,,ResourceAwareness,yes,,
How to block IP addresses coming from overseas to protect against DDoS attacks?,Agent:DDoSAdvisory,,AppGWandWAF,Good,,Advisory,yes,Good,Good
Why was the DDoS triggered for the outbound scenario despite having the DDoS protection plan associated with the public IP?,Agent:DDoSIncident,Tool:AttackDetection,,,,,yes,,
Is the DDoS detection a false positive or a legitimate attack?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,yes,,
Who are the top talkers responsible for the traffic during the attack period?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,yes,,
"Why is our legitimate IP from on-premise to cloud, used to establish an IPSec tunnel, being treated as a DDoS mitigation? Can this IP be exempted?",Agent:DDoSIncident,Tool:AttackProfiling,,,,Advisory,yes,,
Is DDoS mitigation flow logs the only way to track the source attacker public IP?,Agent:DDoSAdvisory,,LogAndAttackAnalysis,Good,,Advisory,yes,,
"If we observe the same source public IP as the attacking IP, does that mean our organization is becoming a frequent DDoS target?",Agent:DDoSAdvisory,,LogAndAttackAnalysis,Good,,Advisory,yes,,
"If we become a target or receive attacks more frequently, is the current DDoS protection plan (per IP protection) sufficient to cover us?",Agent:DDoSAdvisory,,ArchitectureAdvice,Good,,Advisory,yes,,
"I want to trace the source public IP with mitigation flow logs, but all results show packets forwarded to services and no dropped packets. How can this be explained given that we experienced DDoS attacks and mitigation actions took place?",Agent:DDoSIncident,Tool:AttackProfiling,,,,,yes,,
"Regarding blocking untrusted sources: since the DDoS plan automatically blocks incoming traffic when thresholds are reached, what does it mean to block the source from our environment (Azure cloud)? How can this be done?",Agent:DDoSAdvisory,,Functionality,NeedsAdditionalContext,,Advisory,yes,,
How can we permanently block a source IP in Azure cloud to prevent it from hitting the cloud again? Is there a how-to guide?,Agent:DDoSAdvisory,,NSGs,Good,,Advisory,yes,,
"If we have a VPN gateway where network security groups cannot be used due to limitations, does that mean we cannot do anything except rely on the DDoS protection plan?",Agent:DDoSAdvisory,,VPNGateway,Partial,,Advisory,yes,,
"Can an untrusted source set up an IPSec tunnel with our VPN gateway, or will the DDoS plan protect these public IPs by dropping packets from unidentified sources and allowing only legitimate traffic?",Agent:DDoSAdvisory,,VPNGateway,Partial,,Advisory,yes,,
Why was the customer not alerted to the DDoS issue during the outage?,Agent:DDoSIncident,Tool:AttackDetection,,,,,yes,,
How can the source of the traffic causing the outage be determined?,Agent:DDoSAdvisory,Tool:AttackProfiling,,,,Advisory,yes,,
How can the issue be prevented from happening again in the future?,NotApplicable,,,,,,no,,
Are the IP addresses generating the most requests known or desired by the customer?,Agent:DDoSScoping,Tool:AttackProfiling,,,,Scoping,no,,
Can the customer analyze whether the identified IPs are legitimate or unwanted traffic sources?,Agent:DDoSScoping,Tool:AttackProfiling,,,,Scoping,no,,
Is the detected attack confirmed as a true positive?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,yes,,
Was the attack a response or a request directed toward the protection system?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,yes,,
"Can you provide volumetric metrics for each attack wave, including peak Mbps, average load, total bytes transferred, duration, timestamps, and drop/forward ratios?",Agent:DDoSIncident,Tool:AttackProfiling,,,,,yes,,
"Were the attacks on June 7th and June 8th from the same source, and can you provide details on the ports involved?",Agent:DDoSIncident,Tool:AttackProfiling,,,,,yes,,
Who is the actual threat target— the customer or the protection system?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,no,,
Who is the threat actor behind the attacks?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,no,,
Why was mitigation triggered at a certain threshold when the observed traffic was below that threshold?,Agent:DDoSIncident,Tool:AttackProfiling,,,,Advisory,yes,,
"Does the protection system use different metrics or levels for detecting attacks on TCP SYN, TCP, and other protocols, and how does that affect mitigation timing?",Agent:DDoSAdvisory,,Thresholds,Good,,Advisory,yes,,
Confirmation needed on whether the virtual machine (VM) is functioning as a VPN gateway connected to the on-premises network.,NotApplicable,,,,,,no,,
"Clarification required regarding the source of packet loss, specifically if the public IP shared by the customer is indeed the source.",NotApplicable,,,,,,no,,
Inquiry about any changes made from the customer's end that could have impacted the network or VM.,NotApplicable,,,,,,no,,
Verification if the observed packet loss and application slowness are related to network throughput or operating system/application configuration on the VM.,Agent:DDoSIncident,Tool:AttackProfiling,,,,,no,,
When should the policy for protecting networks be applied or not applied?,Agent:DDoSAdvisory,,ArchitectureAdvice,Good,,Advisory,no,,
Should only virtual networks without a specific version of the application gateway be joined to the DDoS protection plan using the policy?,Agent:DDoSAdvisory,,AppGWandWAF,Good,,Advisory,no,Good,Good
Should only virtual networks with additional external IPs and running a gateway that is not of the specified version be joined to the plan?,Agent:DDoSAdvisory,,ResourceCoverage,Good,,Advisory,no,,
Is DDoS protection already included in the plan for application gateways running the specified version?,Agent:DDoSAdvisory,,AppGWandWAF,Good,,Advisory,yes,Good,Good
How to avoid paying twice for the same DDoS protection functionality when joining application gateways to the protection plan?,Agent:DDoSAdvisory,,Billing,Good,,Advisory,yes,,
Whether the IP address involved in the DDoS alert belongs to the customer's subnet.,Agent:DDoSIncident,Tool:AttackProfiling,,,,,no,,
Confirmation if the top talker IP is associated with the customer's network.,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
"Inquiry about whether the IP address is linked to a specific service or platform, such as Databricks.",Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Can we increase the maximum limit for DDoS protection beyond the current global setting of 200k packets?,Agent:DDoSIncident,Tool:DetectionTuning,,,,,,,
How can we tune the DDoS protection plan to bypass specific IPs and traffic flows to prevent false positive alerts?,Agent:DDoSIncident,Tool:DetectionTuning,,,,,,,
What are the options available for bypassing certain IP addresses in the DDoS mitigation configuration?,Agent:DDoSAdvisory,Tool:DetectionTuning,,,,Advisory,yes,,
Are there more granular settings available for DDoS thresholds beyond the current maximum values?,Agent:DDoSAdvisory,Tool:DetectionTuning,,,,Advisory,yes,,
How can we adjust the protection plan to allow expected traffic without triggering constant alerts and mitigation actions?,Agent:DDoSIncident,Tool:DetectionTuning,,,,,,,
"When adding a virtual network (vNET) to the DDoS protection, should the connected resources be visible? Are you able to open the portal in an InPrivate browser to check if they appear?",Agent:DDoSAdvisory,,PortalUsability,Good,,Advisory,yes,,
Has there been any recent activity or changes related to the provisioning failure observed in the network resources?,NotApplicable,,,,,,,,
"Is there a need to verify the VPN resources, given that the VPN Resource URI is not visible within the subscription?",NotApplicable,,,,,,,,
Can the customer provide more detailed traffic flow information and resource URIs for deeper analysis?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Are there any unhealthy or degraded events in the network topology around the reported time?,Agent:DDoSIncident,,,,Outage checking,,,,
Is there any DDoS mitigation active on the platform or organization level affecting the traffic?,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
Whether the DDoS protection is functioning correctly for the customer's public IPs.,Agent:DDoSIncident,Tool:ResourceState,,,,,,,
How to view or access the DDoS protection metrics for the resources covered under the protection plan.,Agent:DDoSAdvisory,,Metrics,Good,,Advisory,yes,,
Does the customer need prior notification or approval before conducting a DDoS attack simulation using a third-party security testing firm?,Agent:DDoSAdvisory,,AttackSimulation,Good,Maybe add a Tool of attack simulation scheduler,Advisory,yes,,
"Can the customer proceed directly with the DDoS simulation, or is coordination with the service provider required?",Agent:DDoSAdvisory,,AttackSimulation,Good,,Advisory,yes,,
"How will the DDoS simulation affect the specific application and its associated services, such as the door service mentioned?",Agent:DDoSAdvisory,,AttackSimulation,NeedsAdditionalContext,,Advisory,yes,,
Is it possible to perform the DDoS simulation using vendors other than the approved testing partners?,Agent:DDoSAdvisory,,AttackSimulation,Good,,Advisory,yes,,
What are the expected behaviors and results from the DDoS protection plan during different types of simulated attacks?,Agent:DDoSAdvisory,,AttackSimulation,Good,,Advisory,yes,,
Should diagnostic logs be enabled to monitor blocked or throttled traffic and overall service behavior during the simulation?,Agent:DDoSAdvisory,,LogAndAttackAnalysis,Partial,,Advisory,yes,,
What traffic volume thresholds trigger DDoS mitigation for various protocols and services?,Agent:DDoSAdvisory,Tool:AttackProfiling,Thresholds,Good,,Advisory,yes,,
"Why did the DDoS protection not activate during a test with approximately 80,000 requests per second?",Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
Why does one application service URL fail under load or attack while another with identical configuration remains functional?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Are there differences in application generations or SKUs that could explain varying resilience to DDoS testing?,Agent:DDoSIncident,,,,Questions about other resources,,,,
"What causes the increased costs observed in the portal during high-volume DDoS testing, and how are these costs calculated?",Agent:DDoSAdvisory,,Billing,Good,,Advisory,yes,,
Is the DDoS protection removed from the virtual network (VNet)?,Agent:DDoSAdvisory,Tool:ResourceState,CRUD,Good,,ResourceAwareness,no,,
Who removed the DDoS protection from the VNet?,,Tool:ResourceState,CRUD,Good,,,,,
Is it possible to increase the TCP trigger threshold for the public IPs from 150k packets per second to 300k packets per second?,Agent:DDoSAdvisory,,Thresholds,Partial,,Advisory,yes,,
Can you confirm that all traffic coming from the specified IP addresses is legitimate?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Are the traffic patterns hitting the public IPs consistent with legitimate usage?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Has the backend team adjusted the TCP trigger policies as requested?,Agent:DDoSIncident,Tool:DetectionTuning,,,,,,,
"After raising the threshold, are you now observing the expected new limits in effect?",Agent:DDoSIncident,Tool:DetectionTuning,,,,,,,
Are other ports besides the known ones showing traffic?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
What types of traffic have been observed?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
What triggered the detection of this event as a DDoS alert? How can false positives be minimized or fine-tuned?,Agent:DDoSIncident,Tool:AttackDetection,,,,,,,
What mitigation actions were performed?,Agent:DDoSIncident,Tool:AttackProfiling,,,,,,,
Whether DDoS-related metrics can be viewed without having DDoS Protection (both network and IP protection) enabled.,Agent:DDoSAdvisory,,Metrics,Good,,Advisory,yes,,
Why is the customer still being charged for the DDoS network protection plan after switching to a single IP protection plan?,Agent:DDoSAdvisory,Tool:ResourceState,Billing,NeedsAdditionalContext,,Advisory,yes,,
"How does the billing reflect changes made to DDoS protection resources, and why is there no immediate change in the cost analysis?",Agent:DDoSAdvisory,Tool:ResourceState,Billing,NeedsAdditionalContext,,Advisory,yes,,
Is it normal for changes to DDoS protection plans to take months before reflecting in cost analysis reports?,Agent:DDoSAdvisory,Tool:ResourceState,Billing,NeedsAdditionalContext,,Advisory,yes,,
Can the customer provide documentation or evidence supporting the claim about the billing delay for DDoS protection changes?,Agent:DDoSAdvisory,Tool:ResourceState,Billing,NeedsAdditionalContext,,,yes,,
What is the detailed description of the issue regarding the DDoS protection billing discrepancy?,Agent:DDoSAdvisory,Tool:ResourceState,Billing,NeedsAdditionalContext,,,no,,
Which party is responsible for the billing issue—the customer or the service provider?,Agent:DDoSAdvisory,Tool:ResourceState,Billing,NeedsAdditionalContext,,,yes,,
What is the impact of the billing issue on the customer's operations?,Agent:DDoSAdvisory,Tool:ResourceState,Billing,NeedsAdditionalContext,,,yes,,
What are the exact start and end times of the billing issue?,Agent:DDoSAdvisory,Tool:ResourceState,Billing,NeedsAdditionalContext,,,no,,
What services and resources are impacted by the billing discrepancy?,Agent:DDoSAdvisory,,Billing,NeedsAdditionalContext,,,yes,,
